data_avg,data_max,data_min,data_std,epoch,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_f1_macro,valid_f1_micro,valid_f1_weighted,valid_loss
,,,,0,11546,,,0.7692041397094727,,,,0.6483126282691956,,,,0.5147913098335266
0.07757110148668289,99.72227478027344,-94.19577026367188,6.047745227813721,0,11546,0.7585757970809937,0.5336257815361023,,,,,,,,,
,,,,1,23093,,,0.7761756181716919,0.7761756181716919,0.6534334421157837,0.3527560830116272,0.6701551675796509,0.6701551675796509,0.7761756181716919,0.7548144459724426,0.5060828328132629
0.07749457657337189,107.78301239013672,-101.7284927368164,6.574900150299072,1,23093,0.7717909812927246,0.5149040222167969,,,,,,,,,
,,,,2,34640,,,0.7785139083862305,0.7785139083862305,0.6574593186378479,0.3611113429069519,0.6746351718902588,0.674635112285614,0.7785139083862305,0.7578639388084412,0.5016216039657593
0.0764864832162857,113.14863586425781,-106.87972259521484,6.992727279663086,2,34640,0.7756259441375732,0.508127748966217,,,,,,,,,
,,,,3,46187,,,0.7788819670677185,0.7788819670677185,0.6552963852882385,0.3583086431026459,0.6726595759391785,0.6726595759391785,0.7788819670677185,0.7570770978927612,0.49675053358078003
0.07536140829324722,117.35064697265625,-111.54940795898438,7.3322978019714355,3,46187,0.7778722047805786,0.5037249326705933,,,,,,,,,
,,,,4,57734,,,0.7819996476173401,0.7819996476173401,0.6646668314933777,0.3752114176750183,0.6823586821556091,0.6823586821556091,0.7819996476173401,0.7628988027572632,0.4951130449771881
0.0725243091583252,120.22254943847656,-115.42264556884766,7.602867603302002,4,57734,0.7794879078865051,0.5003515481948853,,,,,,,,,
,,,,5,69281,,,0.7812418937683105,0.7812418937683105,0.658326268196106,0.3652474880218506,0.6762123107910156,0.6762123107910156,0.7812418937683105,0.7596977353096008,0.4918661117553711
0.06857903301715851,124.2924575805664,-120.39470672607422,7.867574214935303,5,69281,0.780648946762085,0.4979396164417267,,,,,,,,,
,,,,6,80828,,,0.7847709655761719,0.7847709655761719,0.6709880232810974,0.3871137499809265,0.6889137625694275,0.6889137625694275,0.7847709655761719,0.7670904994010925,0.48900869488716125
0.061794817447662354,130.6227569580078,-127.19512939453125,8.153873443603516,6,80828,0.7824946641921997,0.4954944849014282,,,,,,,,,
,,,,7,92375,,,0.787650465965271,0.787650465965271,0.6783206462860107,0.40035128593444824,0.6962336897850037,0.6962336897850037,0.787650465965271,0.7716746926307678,0.48798730969429016
0.05603354796767235,134.15579223632812,-131.5001220703125,8.462541580200195,7,92375,0.7825921177864075,0.49451684951782227,,,,,,,,,
,,,,8,103922,,,0.7880834937095642,0.7880834937095642,0.6834760308265686,0.4077053368091583,0.7006296515464783,0.7006296515464783,0.7880834937095642,0.7738814949989319,0.4908496141433716
0.052319176495075226,133.66607666015625,-130.86447143554688,8.576695442199707,8,103922,0.7824080586433411,0.4943743050098419,,,,,,,,,
,,,,9,115469,,,0.7863081097602844,0.7863081097602844,0.6722680926322937,0.3905895948410034,0.6905652284622192,0.6905652284622192,0.7863081097602844,0.7684876918792725,0.48695069551467896
0.04527458921074867,134.3242645263672,-131.51695251464844,8.722407341003418,9,115469,0.7817179560661316,0.49527615308761597,,,,,,,,,
,,,,10,127016,,,0.777279794216156,0.777279794216156,0.6371312141418457,0.328642874956131,0.6532896161079407,0.6532896161079407,0.777279794216156,0.7471542358398438,0.4982174038887024
0.03734540939331055,132.85009765625,-129.74205017089844,8.72857666015625,10,127016,0.7811415195465088,0.49622422456741333,,,,,,,,,
,,,,11,138563,,,0.7833420038223267,0.7833420038223267,0.6627553701400757,0.37392306327819824,0.6810044050216675,0.6810044646263123,0.7833420038223267,0.762800931930542,0.4881334900856018
0.03381948545575142,132.46728515625,-129.13043212890625,8.655786514282227,11,138563,0.7803187370300293,0.4972710609436035,,,,,,,,,
,,,,12,150110,,,0.783298671245575,0.783298671245575,0.6640323400497437,0.37570759654045105,0.6821776628494263,0.6821776032447815,0.783298671245575,0.7633368372917175,0.491257905960083
0.02306988649070263,131.76174926757812,-128.95150756835938,8.621697425842285,12,150110,0.7804703116416931,0.4983266294002533,,,,,,,,,
,,,,13,161657,,,0.7818480730056763,0.7818480730056763,0.6611105799674988,0.3699451982975006,0.6790250539779663,0.6790250539779663,0.7818480730056763,0.7612693309783936,0.4918336570262909
0.01709282025694847,131.34071350097656,-128.15725708007812,8.511282920837402,13,161657,0.7793146967887878,0.4994845688343048,,,,,,,,,
,,,,14,173204,,,0.7828223705291748,0.7828223705291748,0.665923535823822,0.3778839111328125,0.6837584972381592,0.683758556842804,0.7828223705291748,0.7638879418373108,0.4909106194972992
0.017496727406978607,132.51937866210938,-129.8323974609375,8.456400871276855,14,173204,0.7794798016548157,0.5005332231521606,,,,,,,,,
,,,,15,184751,,,0.7824543118476868,0.7824543118476868,0.6580759882926941,0.36616969108581543,0.6763007044792175,0.6763007044792175,0.7824543118476868,0.7602202296257019,0.49208152294158936
0.01615779660642147,135.05116271972656,-133.0367889404297,8.418877601623535,15,184751,0.7781726121902466,0.5014720559120178,,,,,,,,,
,,,,16,196298,,,0.7867411375045776,0.7867411375045776,0.6840314269065857,0.40691062808036804,0.7005288004875183,0.7005288004875183,0.7867411375045776,0.7732711434364319,0.4910377264022827
0.02132987603545189,137.9005126953125,-135.72068786621094,8.527971267700195,16,196298,0.7789466381072998,0.5019379258155823,,,,,,,,,
,,,,17,207845,,,0.7823893427848816,0.7823893427848816,0.6643186807632446,0.3751347064971924,0.682161808013916,0.6821617484092712,0.7823893427848816,0.7629636526107788,0.49235162138938904
0.01622985675930977,138.20193481445312,-136.54396057128906,8.493494987487793,17,207845,0.7785487771034241,0.5025891065597534,,,,,,,,,
,,,,18,219392,,,0.7800727486610413,0.7800727486610413,0.6550804972648621,0.3592308759689331,0.6727570295333862,0.6727570295333862,0.7800727486610413,0.7575953006744385,0.4919407069683075
-0.003274580230936408,142.96163940429688,-141.7097930908203,8.629834175109863,18,219392,0.7780020833015442,0.5029364824295044,,,,,,,,,
,,,,19,230939,,,0.7835584878921509,0.7835584878921509,0.6684027910232544,0.38217824697494507,0.68622225522995,0.68622225522995,0.7835584878921509,0.7653398513793945,0.4903547763824463
-0.01071690022945404,146.61593627929688,-145.79067993164062,8.52397346496582,19,230939,0.7775853276252747,0.503062903881073,,,,,,,,,
,,,,20,242486,,,0.7774097323417664,0.7774097323417664,0.6474530696868896,0.3449811637401581,0.6644704937934875,0.6644704937934875,0.7774097323417664,0.752598226070404,0.49219316244125366
-0.013185321353375912,147.74505615234375,-147.24440002441406,8.527442932128906,20,242486,0.7776881456375122,0.5031989812850952,,,,,,,,,
,,,,21,254033,,,0.7843163013458252,0.7843163013458252,0.6754090785980225,0.39268410205841064,0.692548394203186,0.692548394203186,0.7843163013458252,0.7685912847518921,0.4941858649253845
-0.012733708135783672,150.78164672851562,-150.1903533935547,8.500364303588867,21,254033,0.776435136795044,0.5030940771102905,,,,,,,,,
,,,,22,265580,,,0.7865462899208069,0.7865462899208069,0.683872640132904,0.4064819812774658,0.7003235816955566,0.7003235816955566,0.7865462899208069,0.7730951905250549,0.49292322993278503
-0.02892901748418808,152.7820587158203,-152.3410186767578,8.57352066040039,22,265580,0.7776638269424438,0.5029800534248352,,,,,,,,,
,,,,23,277127,,,0.7850740551948547,0.7850740551948547,0.6794072985649109,0.3989153802394867,0.696147084236145,0.6961471438407898,0.7850740551948547,0.7705643177032471,0.49039319157600403
-0.04942980036139488,152.5677032470703,-152.66531372070312,8.590877532958984,23,277127,0.7781969904899597,0.5026758909225464,,,,,,,,,
,,,,24,288674,,,0.78425133228302,0.78425133228302,0.6768190860748291,0.3945232033729553,0.6937026381492615,0.6937026381492615,0.78425133228302,0.7690967917442322,0.500157356262207
-0.06292063742876053,154.12538146972656,-153.9549560546875,8.424233436584473,24,288674,0.7773038744926453,0.5027692914009094,,,,,,,,,
,,,,25,300221,,,0.7861132621765137,0.7861132621765137,0.6833773255348206,0.40534278750419617,0.6997548341751099,0.6997548341751099,0.7861132621765137,0.772652804851532,0.4924771189689636
-0.08867470175027847,154.7956085205078,-154.99642944335938,8.384769439697266,25,300221,0.7773146629333496,0.5025301575660706,,,,,,,,,
,,,,26,311768,,,0.7850524187088013,0.7850524187088013,0.6795403361320496,0.3990689814090729,0.6962472200393677,0.6962472796440125,0.7850524187088013,0.770601212978363,0.4928729236125946
-0.10048828274011612,155.0076141357422,-154.86810302734375,8.129615783691406,26,311768,0.7764323949813843,0.5022343397140503,,,,,,,,,
,,,,27,323315,,,0.7763704657554626,0.7763704657554626,0.6442967057228088,0.33906346559524536,0.6609728336334229,0.6609728336334229,0.7763704657554626,0.7505176663398743,0.49191275238990784
-0.11625483632087708,155.0090789794922,-155.01071166992188,7.979456424713135,27,323315,0.7771143913269043,0.5019676685333252,,,,,,,,,
,,,,28,334862,,,0.7803975343704224,0.7803975343704224,0.6615914702415466,0.36909547448158264,0.6790472269058228,0.6790472269058228,0.7803975343704224,0.7606975436210632,0.49097540974617004
-0.14650648832321167,155.39175415039062,-155.3397216796875,7.891655445098877,28,334862,0.7765325307846069,0.5016182065010071,,,,,,,,,
,,,,29,346409,,,0.7859400510787964,0.7859400510787964,0.6822718381881714,0.40369123220443726,0.698803722858429,0.698803722858429,0.7859400510787964,0.77214515209198,0.49114733934402466
-0.18752188980579376,154.25399780273438,-154.104736328125,7.7572550773620605,29,346409,0.7771522998809814,0.5012428760528564,,,,,,,,,
,,,,30,357956,,,0.7801377177238464,0.7801377177238464,0.6594401001930237,0.36570560932159424,0.6769624352455139,0.6769624352455139,0.7801377177238464,0.7596117258071899,0.4887946546077728
-0.2344975620508194,154.40638732910156,-154.2097930908203,7.747233867645264,30,357956,0.7773579955101013,0.5008581876754761,,,,,,,,,
,,,,31,369503,,,0.7749415636062622,0.7749415636062622,0.637444794178009,0.32684510946273804,0.6533213257789612,0.6533213257789612,0.7749415636062622,0.746280312538147,0.49567756056785583
-0.28397858142852783,153.3632354736328,-153.4389190673828,7.6375579833984375,31,369503,0.777241587638855,0.500730037689209,,,,,,,,,
,,,,32,381050,,,0.7872607707977295,0.7872607707977295,0.6904546022415161,0.4158083498477936,0.7057094573974609,0.7057094573974609,0.7872607707977295,0.7758434414863586,0.49247583746910095
-0.3314896523952484,152.49720764160156,-152.68296813964844,7.513334274291992,32,381050,0.7767517566680908,0.5008005499839783,,,,,,,,,
,,,,33,392597,,,0.7839698791503906,0.7839698791503906,0.6723597645759583,0.3881286382675171,0.6898277997970581,0.6898278594017029,0.7839698791503906,0.7671881318092346,0.48631155490875244
-0.3700334429740906,152.0771484375,-152.0064697265625,7.43742561340332,33,392597,0.7769547700881958,0.4999985098838806,,,,,,,,,
,,,,34,404144,,,0.7805490493774414,0.7805490493774414,0.6614985466003418,0.36912229657173157,0.6790060997009277,0.6790060997009277,0.7805490493774414,0.7607392072677612,0.4887944459915161
-0.3887856900691986,150.29446411132812,-149.74403381347656,7.228719711303711,34,404144,0.7771956324577332,0.49944883584976196,,,,,,,,,
,,,,35,415691,,,0.7727548480033875,0.7727548480033875,0.6235619783401489,0.3018217086791992,0.6367813944816589,0.6367813944816589,0.7727548480033875,0.7373901605606079,0.4936950206756592
-0.39913201332092285,151.22239685058594,-151.25479125976562,7.20083475112915,35,415691,0.7777044177055359,0.4993554651737213,,,,,,,,,
,,,,36,427238,,,0.7747467160224915,0.7747467160224915,0.6373846530914307,0.3265584409236908,0.6532266139984131,0.6532266139984131,0.7747467160224915,0.7461600303649902,0.4890587627887726
-0.41017037630081177,151.93190002441406,-151.8037872314453,7.159787178039551,36,427238,0.7779669165611267,0.49878379702568054,,,,,,,,,
,,,,37,438785,,,0.7757859230041504,0.7757859230041504,0.6434258222579956,0.3371245563030243,0.6599432826042175,0.6599432826042175,0.7757859230041504,0.7497967481613159,0.4946599304676056
-0.40248802304267883,150.9368896484375,-151.32252502441406,7.111924648284912,37,438785,0.7781834602355957,0.4987425208091736,,,,,,,,,
,,,,38,450332,,,0.7847276329994202,0.7847276329994202,0.6752484440803528,0.39292091131210327,0.6925639510154724,0.6925639510154724,0.7847276329994202,0.7687687277793884,0.48745349049568176
-0.3986378014087677,150.82455444335938,-151.32872009277344,7.054436683654785,38,450332,0.7772064208984375,0.4987565577030182,,,,,,,,,
