criterion,splitter,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,ccp_alpha,fitness_score,generation
gini,random,sqrt,23,6,3,100,0.16906156481007623,0.07816214049955372,0.5955087166354771,0
entropy,best,sqrt,6,8,8,25,0.18838320656123342,0.21565617390957498,0.5955087166354771,0
gini,best,log2,18,9,3,18,0.050050413760221846,0.05024912807999565,0.6389737023539841,0
gini,random,log2,2,9,2,62,0.1712126796463676,0.24190027760209676,0.5955087166354771,0
entropy,best,log2,20,13,3,77,0.2818347323206031,0.49740640143206083,0.5955087166354771,0
entropy,best,log2,15,8,1,20,0.21922908279747122,0.4662376883738398,0.5955087166354771,0
gini,best,log2,6,11,10,47,0.45420842934787053,0.3853986081462788,0.5955087166354771,0
gini,random,sqrt,22,6,5,100,0.3736955504452259,0.4183123379423128,0.5955087166354771,0
entropy,random,,10,12,9,71,0.31963067433354414,0.4215288569291901,0.5955087166354771,0
entropy,random,log2,25,2,7,86,0.23768253814817197,0.2388796215808725,0.5955087166354771,0
gini,random,log2,18,2,7,86,0.23768253814817197,0.2388796215808725,0.5955087166354771,1
entropy,random,log2,25,9,3,21,0.050050413760221846,0.05024912807999565,0.779434649857185,1
entropy,best,log2,18,9,3,84,0.23768253814817197,0.2388796215808725,0.5955087166354771,1
entropy,random,log2,25,2,7,8,0.09568309595224266,0.030459793757277368,0.779434649857185,1
gini,best,log2,18,9,3,86,0.23768253814817197,0.2388796215808725,0.5955087166354771,1
entropy,random,log2,25,2,7,18,0.050050413760221846,0.05024912807999565,0.779434649857185,1
gini,best,sqrt,18,2,7,86,0.24526512132612252,0.2388796215808725,0.5955087166354771,1
entropy,random,log2,25,9,3,28,0.050050413760221846,0.05024912807999565,0.779434649857185,1
entropy,best,log2,25,9,3,18,0.050050413760221846,0.05024912807999565,0.6643258150300404,2
entropy,random,sqrt,25,4,7,28,0.050050413760221846,0.06947246962955314,0.6643258150300404,2
entropy,random,log2,25,9,3,33,0.050050413760221846,0.05024912807999565,0.779434649857185,2
gini,random,,27,2,7,18,0.050050413760221846,0.05024912807999565,0.779434649857185,2
entropy,random,log2,25,2,7,18,0.050050413760221846,0.058419806249818955,0.779434649857185,2
gini,random,log2,25,9,3,29,0.050050413760221846,0.05024912807999565,0.779434649857185,2
entropy,random,log2,25,9,3,18,0.050050413760221846,0.1109577029655249,0.779434649857185,2
entropy,random,log2,25,4,6,36,0.050050413760221846,0.0322876916401727,0.779434649857185,2
entropy,best,log2,25,7,3,10,0.050050413760221846,0.1109577029655249,0.5955087166354771,3
entropy,random,log2,25,2,6,36,0.050050413760221846,0.0322876916401727,0.779434649857185,3
entropy,random,log2,25,4,5,15,0.050050413760221846,0.1109577029655249,0.779434649857185,3
entropy,random,log2,27,11,3,36,0.050050413760221846,0.09934001323522743,0.779434649857185,3
entropy,random,log2,25,4,6,18,0.050050413760221846,0.1109577029655249,0.779434649857185,3
entropy,best,log2,25,9,3,38,0.050050413760221846,0.0322876916401727,0.6643258150300404,3
entropy,random,log2,24,6,6,18,0.050050413760221846,0.014219459097745843,0.779434649857185,3
entropy,random,,25,7,3,36,0.05113385483201572,0.0322876916401727,0.779434649857185,3
entropy,random,,24,6,6,18,0.050050413760221846,0.014219459097745843,0.779434649857185,4
entropy,random,log2,25,7,3,36,0.05113385483201572,0.04118175684213435,0.779434649857185,4
entropy,best,,25,7,6,17,0.024334302045778376,0.014219459097745843,0.7963853048360091,4
gini,random,log2,24,6,3,36,0.0627243750890181,0.0,0.779434649857185,4
entropy,random,,25,7,3,18,0.050050413760221846,0.014219459097745843,0.779434649857185,4
entropy,random,,24,6,6,27,0.05113385483201572,0.0322876916401727,0.779434649857185,4
gini,random,,24,4,6,18,0.050050413760221846,0.014219459097745843,0.779434649857185,4
entropy,random,log2,28,7,4,36,0.05113385483201572,0.0322876916401727,0.779434649857185,4
entropy,random,log2,28,7,3,31,0.0666343662243236,0.0322876916401727,0.779434649857185,5
gini,best,,25,7,6,17,0.10649081283022058,0.014219459097745843,0.779434649857185,5
entropy,best,,25,7,4,36,0.09821140473282347,0.0322876916401727,0.779434649857185,5
gini,random,,28,7,6,17,0.024334302045778376,0.014219459097745843,0.779434649857185,5
entropy,best,,25,6,6,36,0.0,0.0,0.7935093075938146,5
entropy,random,log2,28,7,4,9,0.024334302045778376,0.014219459097745843,0.779434649857185,5
gini,best,,25,7,6,17,0.06229042556632278,0.08250355581007304,0.779434649857185,5
entropy,random,log2,28,7,4,36,0.05113385483201572,0.014219459097745843,0.779434649857185,5
entropy,best,,27,7,6,17,0.09057286265445197,0.0,0.779434649857185,6
entropy,best,,25,4,5,36,0.0,0.014219459097745843,0.7962966610853935,6
entropy,best,,25,7,6,21,0.024334302045778376,0.0,0.7963853048360091,6
gini,random,,25,6,6,35,0.0,0.035836927385288264,0.779434649857185,6
entropy,best,,25,7,6,17,0.024334302045778376,0.004050078473627735,0.7963853048360091,6
entropy,best,,25,6,5,28,0.0,0.014219459097745843,0.7962966610853935,6
entropy,best,log2,24,6,6,36,0.0,0.0,0.7696148921501035,6
entropy,best,,23,7,6,17,0.024334302045778376,0.014219459097745843,0.7963853048360091,6
entropy,best,,25,7,6,20,0.05424673308483638,0.004050078473627735,0.7907613513247316,7
entropy,best,,23,6,6,19,0.024334302045778376,0.014219459097745843,0.7963853048360091,7
entropy,best,,25,7,6,12,0.024334302045778376,0.004050078473627735,0.7963853048360091,7
gini,best,log2,23,8,6,17,0.024334302045778376,0.014219459097745843,0.6643258150300404,7
entropy,best,sqrt,23,8,5,17,0.024334302045778376,0.004050078473627735,0.6643258150300404,7
entropy,best,,25,7,6,17,0.024334302045778376,0.06445895590241962,0.7907613513247316,7
entropy,best,,23,7,6,17,0.024334302045778376,0.004050078473627735,0.7963853048360091,7
entropy,best,,25,7,6,17,0.06907072757326566,0.014219459097745843,0.7907613513247316,7
entropy,best,,23,7,6,9,0.024334302045778376,0.004050078473627735,0.7963853048360091,8
gini,random,,27,7,5,17,0.024334302045778376,0.004050078473627735,0.779434649857185,8
entropy,best,,24,6,6,17,0.04565947916705775,0.004050078473627735,0.7907613513247316,8
entropy,best,,25,7,6,12,0.07145054927045015,0.004050078473627735,0.7823106470993795,8
entropy,best,,23,7,6,12,0.02785606290057984,0.004050078473627735,0.7949867034374076,8
entropy,best,log2,25,7,6,17,0.024334302045778376,0.004050078473627735,0.7219836501526642,8
entropy,best,sqrt,27,7,7,12,0.024334302045778376,0.004050078473627735,0.6643258150300404,8
entropy,best,,22,7,7,17,0.024334302045778376,0.004050078473627735,0.7963853048360091,8
entropy,best,,25,6,6,15,0.01850704256287909,0.004050078473627735,0.8019994090416626,9
entropy,random,,22,7,7,17,0.024334302045778376,0.004050078473627735,0.792169802028957,9
entropy,best,sqrt,22,7,8,12,0.024334302045778376,0.004050078473627735,0.6643258150300404,9
entropy,random,,25,7,6,17,0.0,0.004050078473627735,0.7893036540923866,9
entropy,best,,22,7,7,17,0.024334302045778376,0.025684401803919163,0.7963853048360091,9
entropy,best,,25,7,6,12,0.024334302045778376,0.053470899303011465,0.7907613513247316,9
entropy,random,sqrt,22,7,7,17,0.05113665420811235,0.004050078473627735,0.6643258150300404,9
gini,random,,25,7,6,12,0.04774371754538211,0.0,0.779434649857185,10
gini,random,,25,6,6,15,0.01850704256287909,0.06159240576017715,0.779434649857185,10
entropy,best,sqrt,26,7,6,12,0.024334302045778376,0.004050078473627735,0.6643258150300404,10
entropy,best,,25,7,7,15,0.0,0.07393462804485486,0.7823106470993795,10
entropy,best,,24,6,6,15,0.01850704256287909,0.004050078473627735,0.8019994090416626,10
entropy,best,,25,6,6,15,0.020172994291040285,0.004050078473627735,0.8019994090416626,10
entropy,best,,24,6,6,15,0.0,0.004050078473627735,0.7850881512853343,11
entropy,random,sqrt,25,6,6,15,0.01850704256287909,0.004050078473627735,0.6643258150300404,11
entropy,best,,23,6,6,15,0.0,0.004050078473627735,0.7850881512853343,11
entropy,random,,24,7,6,10,0.01850704256287909,0.004050078473627735,0.7977740569289866,11
entropy,best,sqrt,25,6,6,16,0.04431275538814178,0.0,0.6643258150300404,11
entropy,best,,25,7,6,10,0.01850704256287909,0.004050078473627735,0.8019994090416626,11
entropy,best,,24,6,6,15,0.020172994291040285,0.004050078473627735,0.8019994090416626,11
entropy,best,sqrt,24,6,6,10,0.01850704256287909,0.03938142079608632,0.6643258150300404,12
entropy,random,,25,7,6,15,0.07066997936430787,0.039730207592891184,0.779434649857185,12
gini,best,,25,7,6,10,0.0017276002596822784,0.0,0.7879247513050329,12
entropy,random,,25,8,7,10,0.01850704256287909,0.0,0.7977740569289866,12
entropy,best,,24,7,5,10,0.01850704256287909,0.004050078473627735,0.8019994090416626,12
entropy,best,,25,6,5,22,0.020172994291040285,0.004050078473627735,0.8019994090416626,12
entropy,random,sqrt,24,7,4,10,0.036921869216491085,0.004050078473627735,0.6643258150300404,13
entropy,best,sqrt,24,6,6,10,0.01850704256287909,0.004050078473627735,0.662917364325815,13
entropy,best,,25,6,5,22,0.020172994291040285,0.0,0.8019994090416626,13
entropy,best,log2,25,6,5,22,0.05005927284992986,0.04541649064099583,0.6643258150300404,13
entropy,best,,24,8,5,10,0.01850704256287909,0.004050078473627735,0.8019994090416626,13
entropy,best,,25,6,5,5,0.01850704256287909,0.004050078473627735,0.7992022062444597,13
entropy,best,,24,7,5,19,0.020172994291040285,0.0013223642777532092,0.8019994090416626,13
entropy,best,,24,7,6,22,0.020172994291040285,0.004050078473627735,0.8019994090416626,14
entropy,best,,24,8,5,15,0.01850704256287909,0.0013223642777532092,0.8019994090416626,14
gini,best,,24,7,5,16,0.08444844913581806,0.0,0.779434649857185,14
entropy,best,,24,8,5,10,0.01850704256287909,0.0013223642777532092,0.8019994090416626,14
entropy,best,,24,7,5,10,0.01850704256287909,0.0,0.8019994090416626,14
entropy,best,,24,6,5,19,0.020172994291040285,0.0013223642777532092,0.8019994090416626,14
entropy,best,,24,8,5,7,0.01850704256287909,0.004050078473627735,0.8019994090416626,14
gini,best,,24,7,5,19,0.023387876746322245,0.0013223642777532092,0.7907613513247316,14
entropy,best,,24,6,5,19,0.020172994291040285,0.0,0.8019994090416626,15
entropy,random,,24,9,5,7,0.01850704256287909,0.06089306172109156,0.779434649857185,15
entropy,best,,24,8,5,19,0.020172994291040285,0.0013223642777532092,0.8019994090416626,15
entropy,best,,24,6,5,7,0.0,0.0,0.7934797596769428,15
entropy,best,,25,7,5,7,0.01850704256287909,0.07288346890815114,0.7823106470993795,15
entropy,random,,24,6,6,19,0.03453213474234362,0.004050078473627735,0.7823106470993795,15
entropy,best,,24,6,5,7,0.01850704256287909,0.004050078473627735,0.8019994090416626,15
entropy,random,,24,6,5,19,0.020172994291040285,0.011194989643428297,0.7963656062247612,16
entropy,best,sqrt,24,8,6,7,0.01850704256287909,0.004050078473627735,0.662917364325815,16
gini,best,,25,8,5,19,0.020172994291040285,0.0013223642777532092,0.7907613513247316,16
gini,best,,25,5,5,7,0.01850704256287909,0.004050078473627735,0.7907613513247316,16
entropy,best,log2,24,6,5,19,0.020172994291040285,0.0013223642777532092,0.7401654683344824,16
entropy,best,,24,8,5,5,0.01850704256287909,0.004050078473627735,0.7992022062444597,16
entropy,best,,22,8,6,19,0.020172994291040285,0.0013223642777532092,0.8019994090416626,16
entropy,best,,24,6,6,7,0.01850704256287909,0.004050078473627735,0.8019994090416626,16
entropy,random,,24,6,6,19,0.020172994291040285,0.0013223642777532092,0.7963656062247612,17
entropy,best,,22,8,6,8,0.01850704256287909,0.004050078473627735,0.8019994090416626,17
entropy,random,,24,6,5,7,0.032463133938344955,0.0013223642777532092,0.7823106470993795,17
entropy,best,,24,8,6,17,0.01850704256287909,0.004050078473627735,0.8019994090416626,17
entropy,best,,22,8,5,19,0.020172994291040285,0.0013223642777532092,0.8019994090416626,17
entropy,best,,24,6,6,11,0.01850704256287909,0.017545917278553504,0.8019994090416626,17
entropy,best,sqrt,22,8,6,19,0.00803529484422392,0.0013223642777532092,0.7120653993893431,17
entropy,best,,25,6,6,7,0.01850704256287909,0.004050078473627735,0.8019994090416626,17
entropy,best,,23,6,6,7,0.0,0.004050078473627735,0.7934797596769428,18
entropy,best,,25,6,6,11,0.06967906656384153,0.017545917278553504,0.7823106470993795,18
entropy,best,,24,5,6,7,0.01850704256287909,0.004050078473627735,0.8019994090416626,18
entropy,best,,25,6,6,7,0.01850704256287909,0.017545917278553504,0.8019994090416626,18
entropy,best,,24,6,6,11,0.05271977304642604,0.0,0.7907613513247316,18
entropy,best,,24,6,6,11,0.04783667785415925,0.017545917278553504,0.7907613513247316,18
entropy,best,,25,6,6,7,0.01850704256287909,0.0,0.8019994090416626,18
gini,best,,25,6,6,9,0.03968616874323956,0.017545917278553504,0.7710430414655767,19
entropy,best,,25,6,6,7,0.06801858565246058,0.0,0.7907613513247316,19
entropy,random,,25,7,6,5,0.01850704256287909,0.0,0.7907613513247316,19
gini,random,,25,6,6,7,0.03489743898010653,0.0,0.779434649857185,19
entropy,best,,25,6,6,5,0.01850704256287909,0.017545917278553504,0.7992022062444597,19
entropy,best,,25,7,6,8,0.01850704256287909,0.0,0.8019994090416626,19
entropy,best,,25,6,6,6,0.01850704256287909,0.0,0.8019994090416626,20
entropy,best,,25,7,7,7,0.01850704256287909,0.06063779345776087,0.7907613513247316,20
entropy,best,,25,7,5,8,0.01850704256287909,0.0,0.8019994090416626,20
entropy,random,,25,6,6,5,0.01850704256287909,0.0,0.7907613513247316,20
gini,best,,25,7,7,8,0.04817772135093325,0.0,0.779434649857185,20
entropy,best,,25,8,6,8,0.01850704256287909,0.040813515899800375,0.7907613513247316,20
