lr_scheduler_name,target_name,max_epochs,max_learning_rate,gamma,fitness_score,generation
OneCycleLR,mcc,5,0.001000463492317321,0.14812420798024975,0.4875000119209289,0
ExponentialLR,loss,8,0.009924290462689112,0.05106030396475767,0.5375000238418579,0
OneCycleLR,loss,9,0.006147159431380288,0.5135645806229103,0.625,0
ReduceLROnPlateau,mcc,9,0.009707576452186827,0.7612668070790835,0.6000000238418579,0
ReduceLROnPlateau,loss,3,0.009467637515788439,0.5625857249834637,0.5874999761581421,0
ExponentialLR,mcc,3,0.008833749303974457,0.0835744015623204,0.5249999761581421,0
ExponentialLR,f1score,9,0.007202911620382151,0.08439793492647128,0.5249999761581421,0
StepLR,loss,6,0.003902945372745838,0.8176924985217154,0.6000000238418579,0
ReduceLROnPlateau,f1score,9,0.003902945372745838,0.8176924985217154,0.6000000238418579,1
OneCycleLR,loss,6,0.006147159431380288,0.5135645806229103,0.550000011920929,1
OneCycleLR,loss,8,0.006147159431380288,0.8176924985217154,0.625,1
StepLR,loss,6,0.003902945372745838,0.5135645806229103,0.6000000238418579,1
ExponentialLR,mcc,6,0.004696961297019321,0.8982558102501301,0.5874999761581421,1
StepLR,loss,8,0.006503488786750872,0.558286261137347,0.6000000238418579,1
ReduceLROnPlateau,f1score,8,0.006147159431380288,0.5135645806229103,0.6000000238418579,2
OneCycleLR,loss,9,0.006147159431380288,0.8176924985217154,0.625,2
OneCycleLR,loss,7,0.006147159431380288,0.5135645806229103,0.550000011920929,2
ExponentialLR,mcc,9,0.006917354877925566,0.5917109929994725,0.5874999761581421,2
OneCycleLR,loss,7,0.006492798906089755,0.861072528620719,0.550000011920929,2
ReduceLROnPlateau,f1score,9,0.006147159431380288,0.8176924985217154,0.6000000238418579,3
ExponentialLR,mcc,8,0.0068942490145292076,0.8934945185269808,0.6000000238418579,3
OneCycleLR,loss,8,0.00648242972184847,0.859771127717749,0.625,3
ReduceLROnPlateau,f1score,8,0.006147159431380288,0.8176924985217154,0.6000000238418579,4
OneCycleLR,loss,7,0.00648242972184847,0.8176924985217154,0.550000011920929,4
OneCycleLR,loss,8,0.006147159431380288,0.859771127717749,0.625,4
ExponentialLR,mcc,8,0.0068718363270347405,0.8912204579268228,0.6000000238418579,4
OneCycleLR,loss,7,0.0068076419036026065,0.9005873980379016,0.5625,4
